60,07
57,12
70,28
92,71
40,96
74,8
75,72
96,27
47,84
65,38
3,34
66,79
80,29
75,6
53,74
63,49
25,39
6,38
15,42
92,34
18,74
71,92
98,52
65,15
37,14
45,86
80,8
56,58
21,17
10,1
32,03
7,53
98,06
89,65
52,58
45,89
78,33
15,16
1,79
35,35
63,89
33,92
16,3
4,68
51,31
1,58
25,48
55,98
21,57
25,55
60,65
14,01
61,26
32,48
54,69
88,14
58,6
5,13
55,57
95,1
93,99
19,13
75,09
37,74
33,34
95,8
68,72
90,63
23,02
7,84
85,16
10,22
4,59
80,07
28,45
84,81
55,62
93,84
13,83
35,56
20,38
24,82
35,01
95,62
49,45
18,01
46,27
65,58
34,96
64,43
87,29
73,19
59,59
6,69
41,36
44,75
58,83
78,55
71,33
55,52
